de,en
"Hinweis: Die Verteilungsregel r1 nimmt alle Dokumente an, für die keinPAPAGENO-Benutzer konfiguriert ist.",Note: The distribution rule r1 accepts all documents for which no PAPAGENO user is configured.
"Dabei wurde sichtbar, dass es sich bei den braunen Auflagen um Reste einer Grundierungsschicht oder einen Anstrich handeln muss, denn Pinselstriche sind deutlich zu erkennen.","This revealed that the brown deposits were remnants of a ground coat or paint layer, since brushstrokes can clearly be seen."
"Zum Beispiel wird ein Betrieb, in dem Zuchtsauen zu mehr als 2/3 der wirtschaftlichen Größe beitragen, als Spezialisierter Schweineaufzuchtbetrieb (Typ 5011) klassifiziert.","For instance, a farm where breeding sows account for more than 2/3 of the economic size is classified as specialist pig rearing (type 5011)."
08:37,05:17
"So Gott will, Señor.","God willing, Señor."
Kauf diesen Charakter auf dem Markt,Buy this character at the market
Wo ist der Rest?,- Where's the rest of his stuff?
Betreiber mit ICAO_CODE: RUC,Operator using ICAO_CODE:RUC
"Katie, shhht.",Katie.
05:47:15,18:58:23
"In diesem Beispiel wurde die Farbe der Schaltflächen-Skin geändert, und der Rahmen und die runden Ecken wurden entfernt.","In this example, Ichanged the color of the button skin, removed the border, and removed the rounded corners."
13:59,06:14
Unter GAME LOGS finden Sie die Protokolle zu Ihren Spielen.,Click on 'GAME LOGS' to view the logs of the games you've played.
Nelly!,Nelly!
- Hey.,- Hey.
http://www.todoboda.com/imagesRecursos/36361_dsc0117.JPG,http://media-minecraftforum.cursecdn.com/attachments/8/391/635408588679773751.png
2004 (229),07.05.2004 (1)
Bewertung (1),Vurdering (1)
5.1 Pharmakodynamische Eigenschaften,5.1 Pharmacodynamic properties
"Haus, Kauf Kroatien, Dalmatia, Dubrovnik","House, Buy Croatia, Dalmatia, Dubrovnik"
- Und Sie sind ein Griesgram.,And you're miserable.
"- periareolar, wo die Narbe um die Warze bleibt, versteckt in ihrer Pigment-Regie oder um die Warze selbst.","- periareolar, in which the scar remains in the area around the nipple and is hidden in its pigmented area or around the nipple itself."
"12-26-2012, 11:06 PM #1","04-16-2013, 12:45 AM #1"
"1997 ging er gemeinsam mit Joy an die California State University, Long Beach, in deren Team er bis 2001 spielte.","He was an All-American while playing for California State University, Long Beach (more commonly known as Long Beach State)."
Musik zu den vier Tierbildern des Qigong Dancing,Music for the four animal portraits of the Qigong Dancing
"20-02-2011, 00:19 #1","15-10-2012, 20:22 #2"
"Bei Objekten, die der ChemVOCFarbV unterliegen: Zugabe max. 10 % OV 89 oder OV 5100!",With items subject to the ChemVOCFarbV: Maximum 10% addition of OV 89 or OV 5100!
Charlie?,-charlie? -Mm.
- Das stimmt.,- That's true.
Das CMT stellt den zentralen Knotenpunkt des maritimen Kompetenznetzwerkes dar:,"CMT serves as the central hub for the maritime competence network with the following tasks, aims and services:"
Die digitale Signatur ermöglicht den Export von PDF-Dokumenten mit digitaler Signatur anhand von für Benutzer hinzugefügten Zertifikaten.,The digital signing enables the export of digital signed PDF documents on the basis of the added certificate.
Diese Menschen sind Dummköpfe.,These people's wits are dulled.
Wir sehen uns später.,I'll see you later.
Ich bin nicht stark genug.,I can't do it. I'm not strong enough.
Lieferung kurz vor Abreise.,Delivery just before our departure.
Du jagst ihn?,You're hunting it?
Insgesamt wird der Umsatz 2010 voraussichtlich erneut kräftig auf rund 800 Millionen Euro zulegen.,Total turnover in 2010 is again expected to increase strongly to about 800 million euros.
"Die Saison 1967/68 war die zweite Spielzeit der Japan Ice Hockey League, der höchsten japanischen Eishockeyspielklasse.",The 1967–68 Japan Ice Hockey League season was the second season of the Japan Ice Hockey League.
Für die Kommission,For the Commission
"Aber Irland kann erst vorankommen, wenn diese Brutalität aufhört.",But Ireland cannot prosper until this savagery is put away.
"Ja, natürlich Sir, hier ist sie...",Here we are. - Cheers.
"- Nein, verdammt!","No, goddamn it!"
"Alles klar, Sie fangen an.","-All right, you start."
nicht zubereitet:,Unprepared:
Außenpolitisch wollen wir die Arbeit auf dem westlichen Balkan und im Nahen Osten fortsetzen.,"With regard to foreign policy, we will continue to work with the Western Balkans and the Middle East."
"Wir haben noch 5 Minuten, bereiten Sie Ihre Mädchen vor.","You've got five minutes left, get your girls ready"
Unter anderen derartigen Geräten zeichnen sich aber die Teekessel der Marke HAEN ohne Zweifel durch ihre Schönheit aus. Jeder von ihnen ist eine klassische Teekanne aus Keramik. Im Inneren ist das Heizelement aus rostbeständigem Stahl verborgen.,"However, among other devices of this type, HAEN kettles are distinguished by their attractiveness."
"Beschreibung MILIA-BAY Hotel & Apartments, the top hideaway in the unspoiled island of Alonissos.","Description MILIA-BAY Hotel & Apartments, the top hideaway in the unspoiled island of Alonissos."
Die LED/SMD Videowalls ermöglichen das Abspielen von Bildträgern.,The LED/SMD video walls enable the playing of picture carriers.
http://condado-de-tarrant.amarillasdallas.com/gelbe_seiten/mühlen.htm,http://arlington.amarillasdallas.com/gelbe_seiten/mühlen.htm
Sie verlangte eine Untersuchung.,She demanded and got an inquiry.
sa 11/02/17 - 7 Nächte - 1295€,thu 06/04/17 - 7 nights -20% - 311€
"Die Wahrheit ist, dass die Kontrolle der Haushaltsausführung nur effektiv und nutzbringend ist, wenn sie auf Grundsätzen der Transparenz und Klarheit basiert und von sowohl anspruchsvollen als auch einfachen Vorschriften gestützt wird.",The truth is that the monitoring of budgetary implementation can only be effective and useful if it is underpinned by principles of transparency and clarity and is supported by rules that are at once ambitious and simple.
Studiowohnung - Ferienwohnung - Montmartre - Paris (PA-3863),Studio Vacation Rental - Montmartre - Paris (PA-3863)
"Das Geheimnis machte neugierig, verblüffte, überwältigte, erzürnte die Welt oder machte sie nachdenklich.","The mystery intrigued, baffled, defeated, angered the world or made it wistful."
"Chalet 6 Zimmer, 8 Personen, 145 m2","Chalet 6 rooms, 8 people, 145 m2"
"(') Zutreffendes wie folgt einsetzen: FC (Vollkosten), FF (Vollkosten — Gemeinkostenpauschale), AC (Mehrkosten).",('} Insert as appropriate: FC (Full costs); FF (Full costs - Rat-rate); AC (Additional costs). ft Delete as necessary.
Das war der kalte Champagner.,Too much iced champagne.
"Wie ihr alle, bin ich froh, einen Job zu haben.","I, like all of you, am happy to have a job, okay?"
http://www.amarillaslosan....ten/obst_fruchte.htm,http://los-angeles.amaril....ten/obst_fruchte.htm
"- Nein, Biochemie.","- No, biochemistry."
"Für jedes Produkt, das Sie registriert haben, erhalten Sie eine Bestätigung.",You will receive by E-Mail a certificate for each product that you have registered for extended warranty.
"Also, du glaubst wirklich meinem Mathelehrer mehr als mir?",So you actually believe my math teacher over me?
Die Beitrittskonferenz mit der Türkei auf Ebene der Außenminister hat Kapitel 25 (Wissenschaft und Forschung) am 12.06.2006 vorläufig abgeschlossen.,The accession conference with Turkey at foreign minister level provisionally concluded Chapter 25 (Science and Research) on 12 June 2006.
Zeigen Sie sie ihnen.,Show them.
Die Härte steht zu den folgenden anderen mechanischen Eigenschaften in Beziehung:,Hardness is related to other mechanical characteristics such as:
"Wie ich meine Mama kenne, ist sie vermutlich unterwegs und erzählt all ihren Freunden, dass sie mir einen Gefallen getan hat, indem sie mich all die Jahre angelogen hat.","If I know my mama, she's probably out there telling all her friends that she did me a favor by lying to me for all these years."
"Gehen Sie zu Ihrem Arzt oder Ihrer Ärztin, wenn Sie Ihre Symptome nicht bessern oder neue hinzukommen.","If you have any reason to think you are pregnant, stop taking this medicine right away and contact your doctor or health care professional."
"Mir fehlt, Lust mit ihm zu erleben.","And I miss it, to take pleasure from him."
Sprich!,Speak!
"« Reply #6 on: March 29, 2015, 06:18:47 PM »","« Reply #10 on: March 11, 2015, 11:03:13 AM »"
00:49,06:11
"- Dave, pl ... H?",Listen to me.
Dann sing. Bitte.,Go on.
B. Beschäftigung,B. Employment C. Operation of the institutions and institutional questions
Die bereits abgehaltenen Webinare und das Programm für 2014 können jederzeit unter der Rubrik ECHA Webinars der ECHA Website konsultiert werden.,The webinars already held and the Webinar programme for 2014 can be consulted on ECHA Webinars section of ECHA’s website.
text[i] ↔ text[i+4];,[18]
sa 17/12/16 - 7 Nächte -15% - 662€,sat 17/12/16 - 7 nights -15% - 560€
- Er hasst meine Sauce.,-He spurned my sauce.
- Wir sehen uns in einem Monat.,See you in a month.
Weitere 17 Tote.,Another 17 dead.
"Zwischen 1967 und 1976, als sich der traditionell umfangreiche Bestand an Atlantischem Hering {Clupes harengus) in der Nordsee erheblich","Between 1967 and 1976 when the traditionally im­portant North Sea stock was seriously depleted, At­lantic herring (Clupes harengus) was temporarily a"
-Da soll besserjemand anderer anfangen.,Someone else can start. What do we say?
"- Doch, ist es.","Yes, it is."
Richtig?,Right?
Zurück!,Withdraw!
Kontaktieren Sie uns noch heute!,Contact us today! Contact Us
I am a little shy kitty with a wild side that I'll only show it to you...,I am a little shy kitty with a wild side that I'll only show it to you...
Wahrscheinlich nur ein Nebenprodukt der globalen Erwärmung.,Probably just some byproduct of global warming.
Was ist das alles?,What's all this?
"Freitag, 11. Juli 2014 um 22:46","Freitag, 11. Juli 2014 um 13:38"
Warum habe ich das getan?,Why'd I do that?
Ich bin jetzt privat tätig.,I'm in the private sector now.
"Das schöne Designer-Studio liegt im dritten Stock ohne Aufzug, in einem typischen Pariser Gebäude.",The apartment is located at third floor of a typical Parisian building (without a lift).
"Drei Tonnen, Helikopterteile fliegen um ihn herum.","Six thousand pounds, angry helicopter parts flying all around him."
"Was schaust du an, Schatz?","What you watching, honey?"
"It is currently Fri Aug 26, 2016 5:26 am","It is currently Fri Aug 26, 2016 5:22 am"
- Köpfung.,Decapitation.
Werden Sie sich mit dem Entschluss des Rates abfinden?,Will you abide by the Council's decision?
Schon unter der bestehenden Gesetzgebung sind der Arbeit von Nichtregierungsorganisationen enge Grenzen gesetzt.,NGO-projects are already strictly controlled under the existing legislation.
"gestützt auf den Vertrag zur Gründung der Europäischen Gemeinschaft,","Having regard to the Treaty establishing the European Community,"
15000,Extensions
Kann ich heute Nacht bleiben?,Can I stay with you tonight?
Hurrikan Dahlia hat wieder zugeschlagen. - Was?,Hurricane dahlia has struck again.
"Mann, mein Sohn hatte Recht. Er hatte Recht.","Man, my son's right."
S&M Engineering Services,S&M Engineering Services
"Preis: 11,67EUR ohne MwSt./STK","Price: 11,67EUR without VAT/PCS"
Aber...,But...
"Unterstützt MP3, WMA und WAV sound recorder, audio, mp3","Support MP3, WMA and WAV sound recorder, audio, mp3"
"Zudem gibt es mehr als 100 Unterstützer, d. h. Unternehmen, die Produkte, Lösungen und Programme entwickeln, mit denen die Eigentümer und Betreiber der Rechenzentren die Ziele des Verhaltenskodex erreichen können.","There are more than 100 endorsers; companies that develop products, solutions and programmes to enable data centre owners and operators to meet the goals of the code of conduct."
- Dann los. Aber leise.,"- Let's have a look, but be quiet."
Der Kehrwert für Beziehung %s fehlt,Missing reciprocal for %s relation
"Shireen, komm da runter.",Shireen! Get down!
+32 (0)9 335 9192,+32 (0)9 335 9192
-Es sieht genau so aus wie meines.,It's not like yours.
Artikel 17 / 105,Product 73 / 105
Nächster Flughafen nach Chiclana de la Frontera,Nearest airport to Chiclana de la Frontera
- Oh mein Gott.,"- Oh, my God."
"Obwohl zu dem Bericht von Stephen Hughes wenig Änderungsanträge eingereicht wurden, steckt in den betreffenden Sektoren wohl doch eine ganze Menge Arbeit dieses Parlaments.","As far as I can see, although there are few amendments to the documents from Stephen Hughes, this Parliament has invested a great deal of time and effort in the relevant sectors."
"Das Handbuch, schon zu Lebzeiten sein bedeutendstes Werk, war zunächst als Lehrbuch gedacht, welche das gesammte damalige chemische Wissen vereinen sollte.","The manual, even during his lifetime his most important work, was initially intended to be a textbook, which should unite the whole chemical knowledge at that time."
Juni 2008 ist die De Beers Victor Diamond Mine im Attawapiskat-Kimberlitfeld etwa 90 km westlich der Siedlung Attawapiskat in Betrieb.,"Since June 26, 2008, the De Beers Victor Diamond Mine, in the Attawapiskat kimberlite field, has operated near the river about west of the community of Attawapiskat."
Hier finden Sie das Fotomaterial zu unseren PR-Veröffentlichungen.,Here you will find images concerning our press releases. Presse-Fotos/Images 2016
Porta Brace CO-AB-MB Kameratasche wurde in Ihren Warenkorb gelegt.,Porta Brace PB-2300F Hard Case was placed in your shopping cart.
Lass sie fragen.,Let Them Ask.
"- Alles, was wir haben. - Anblasen!","- All you've got, Chief!"
"Ich möchte, dass Sie mit Ihren Zehen wackeln.",I need you to wiggle your toes. Can you do that for me?
"Ich will, dass du mich in den Arsch fickst.",I want you to butt-fuck me.
"Intelligente Stromnetze können große Emissionseinsparungen ermöglichen, für ihre Realisierung ist jedoch ein Plan notwendig.","Smart grid systems can enable big savings in emissions, but require a plan for putting them into effect."
Was soll ich tun?,What should I do?
2016-03-02 11:17 PM [14],2014-06-14 11:35 PM [4]
- Ich weiß nichts darüber.,- I don't know anything about it.
"Die Mixturen der Subjekte 1-4 waren fehlerhaft, aber Subjekt 5 ist ängstlicher.","The mixtures from subjects 1 through 4 were flawed, but subject 5 is more fearful."
"Es handelt sich vor allem um Nigerianer, die vor der islamistischen Sekte Boko Haram, fliehen, die auch im Norden Nigerias ein Islamisches Kalifat errichten will.","Most are Nigerians fleeing the advancing front of Boko Haram, the Islamist sect which has vowed to establish a Caliphate in Northern Nigeria."
"Isabelle, geh raus und spiel mit dem Kleinen.","Isabelle, go play in the corridor."
Du weißt es nicht.,You said you don't know why you listen to this show.
Ganz genau.,Precisely.
"Alle unsere Architekten passen sich da an, aber in unterschiedlichem Mass. Einige von ihnen dosieren ihren Energieverbrauch mehr als andere.","All our architects conform to this trend, but to different degrees. Let us say that some of them are more sparing of energy costs than others."
"Das Municipio Chuquihuta (vollständiger Name: ""Chuquihuta Ayllu Jucumani"") ist ein Landkreis im Departamento Potosí im südamerikanischen Anden-Staat Bolivien.","Chuquihuta Municipality, also Chuquihuta Ayllu Jucumani, is the fourth municipal section of the Rafael Bustillo Province in the Potosí Department in Bolivia."
"Hey, wir haben Linda gefunden.","Hey, we found Linda."
(3) Die Verordnung (EG) Nr. 1251/1999 ist daher zu ändern -,"(3) It is therefore necessary to amend Regulation (EC) No 1251/1999,"
"Da niemand sich zutraute, der sassanidischen Armee entgegenzutreten, rastete die Armee und belagerte Martyropolis, wo Bouzes und Bessas als Kommandanten der Garnison stationiert worden waren.","Since no one dared to engage with them, they made camp and began the siege of Martyropolis, where Bouzes and Bessas had been stationed in command of the garrison."
Standard Doppel- oder Zweibettzimmer (1 Erwachsener) (Doppel/Zweibett),Standard Double or Twin Room (1 Adult) (Twin/Double)
"Nein, ich, ich kann das nicht.","You know, I can't do this."
"– Herr Präsident, Herr Ratspräsident! Sie haben zwei Bemerkungen gemacht zum Verfassungsentwurf und zur Regierungskonferenz, denen wir beiden unsere volle Zustimmung geben können.","– Mr President, we can fully endorse two remarks about the draft Constitution and the Intergovernmental Conference made by the President-in-Office of the Council."
"Hier komme ich erneut auf die Allgemeine Erklärung über das menschliche Genom und die Menschenrechte zu sprechen, die Eingriffe zur Veränderung der menschlichen Keimbahn ausdrücklich verbietet.","Here, I return to the Universal Declaration on the Human Genome and Human Rights, which bans interventions on the genome that affect the germ line."
"59095137 Zugriffe seit Donnerstag, 25. März 2004","59093358 requests since Thursday 25 March, 2004"
Die Arbeitsplätze des Bezirks liegen neben Handel und Dienstleistungssektor zum großen Teil im öffentlichen Bereich.,The jobs of the district are in addition to trade and service sector largely in the public sector.
- Unter den Umständen ist es...,Under the circumstances.
"Einwohnerzahl: 150,269","population: 271,251"
"Es geht um all die anderen Dinge, die ich ihr antun kann... und Matty, das nächste Mal wenn ich deinen Körper übernehme.",It's about all those other things I can do to her...
G+J EMS Ad Insight - G+J Media Sales,GEOLINO.de - Kontakt Online - G+J Media Sales English
Moment mal.,"Um, hold on--"
"Viele fragen sich auch, wie man in dieser Zeit noch an einen Gott glauben kann.",Many wonder whether it is possible to believe in God in this day and age?
Was macht der Bastard da?,Be careful Jun-shik!
9 Finanzen,9 Finance
"Rettet Zei Hung und Betsy na los geht schon, ich komme später dazu.",Rainbow Betsy have been taken by them. Go rescue them quickly!
Material 5: 100% Polyester,fabric 4: 100% of polyester
Die Liberalisierung des Handels erfordert die Liberalisierung der Menschenrechte in China.,Liberalisation of trade requires liberalisation of human rights in China.
"- Äh, habe ich, ich habe zu tun.","Uh, I do, I have to work."
15:34:27,15:34:26
Die Frage einer Zukunft stellt sich gar nicht.,"The thought of the future needn't depress us, since we have none."
Es befindet sich in ruhiger und von der Straße entfernten Lage. Das kürzlich renovierte Hotel Principe bietet Einzel- und Doppelzimmer sowie Suiten mit untereinander verbundenen Zimmern für drei oder vier Personen und ist daher besonders für...,"Convenient Parking and garden adjacent to pedestrian path. The hotel has been recently renovated and includes double rooms, single rooms and suites with..."
Günstige und Luxus Hotels in Müggenburg:,Accommodations in Müggenburg
- Der Dschungel ist mein Leben!,The jungle's my life.
Bist du sicher?,You sure about this?
"die Verwaltungsmittel, die jedem Organ aufgrund seiner Verwaltungsautonomie zur Verfügung gestellt werden.",appropriations for the operation of each institution under its administrative autonomy.
"Ferner bitte ich unsere Anerkennung dafür zu Protokoll zu nehmen, dass Tunesien als Gastgeber des UNO-Weltgipfels zur Informationsgesellschaft fungierte, der vom 16. bis 18. November stattfand.",It is a challenge to maintain the right balance between improving the right to privacy and combating terrorism.
"Palacio Vallelersundi (PPE). — (ES) Herr amtierender Ratspräsident, ich danke Ihnen vielmals für Ihre Antwort.","Stenmarck (PPE). — (SV) Mr President, let me start by noting with what satisfaction we greet the prospect of new and much tougher rules for Ro-Ro ships operating passenger services in 1996."
"Wollte ich malen, so malte ich.","I felt like painting, and I painted."
LESEN SIE MEHR,READ MORE
"Die Sonne schien wieder und die Temperatur schickte sich an, über 25 Grad hinaus zu gehen.",The sun was shining again and the thermometer rose to 25 degrees Celsius. We borrowed Garry's mother's car and at the nearest station we took a train into Melbourne. Although this is a very modern and busy city it kept its own flair due to the numerous old and quaint buildings.
- Krebs?,- Cancer?
Er kam hierher.,- I guess lggy forgot to mention it.
"2007-11-25, 21:06 #11","2012-12-14, 02:17 #8"
"Ich bin doch kein Schwachkopf, der kein Bett machen kann.","You know, I'm not a fucking idiot, you never know how to fix bed."
Ein Kind ist was Herrliches solange seine Augen zu sind und es weder spricht noch sich bewegt.,Having a kid is great as long as his eyes are closed and he's not moving or speaking.
Will jemand auf den Löwen setzen?,Bets. That's it.
"Er verdient es nicht, dass man ihm nachtrauert.",It doesn't deserve to be missed.
Hinzufügen der Eigenschaft RightToLeftExcelMode property und viele weitere Verbesserungen und Bugfixes...,"Added the RightToLeftExcelMode property, and other improvements and bug fixes…"
Wir beraten Sie gerne individuell.,We are always at your service.
"Ja, Sie und Andrzej.","Yeah, you and Andrzej both."
"Das könnten wir auch, wenn's ein Notfall wäre.","OH, YEAH, BUT NOT UNLESS IT'S AN EMERGENCY."
Mein Haar ist kastanienbraun und meine Augen sind blau.,I have chestnut hair and blue eyes.
Ich verstehe nicht.,I don't understand.
Du verlangst Revanche für deine Offenheit?,You demand revenge for your openness?
Landwirtschaftliches Einkommen für 1999: erste Vorausschätzungen,Agricultural income in 1999: preliminary forecast
"11. Oktober 2016, 03:35:18","11. Oktober 2016, 06:42:18"
"Machen Sie sich bereit zu drücken ""unten"" Pfeil nach dem orangefarbenen Pfeil Marker & an der Tafel wie möglich zu schließen.",Get ready to press 'down' arrow after the orange arrow marker & as close to the white board as possible.
"ABl. L 187 vom 8.7.2006, S. 10.","OJ L 187, 8.7.2006, p. 10."
Fecha: 18/04/2013,Date: 03/22/2012
"Da der Epson Perfection V750 Pro einer der besten Flachbettscanner ist, der aktuell auf dem Markt verfügbar ist, können wir folgendes festhalten:",Since the Epson Perfection V750 Pro is one of the best flatbed scanners on the market we can conclude:
sa 25/03/17 - 7 Nächte - 1344€,sat 25/03/17 - 7 nights -20% - 671€
URL dieser Seite: http://www.progressives-zentrum.org/dpz.php/aid/956/cat/103/start/20,URL dieser Seite: http://www.progressives-zentrum.org/dpz.php/aid/637/cat/97
"Er war während des Kalten Krieges gegen alles, was die westlichen Demokratien gegenüber den kommunistischen Diktaturen gestärkt hat.",He adopted an oppositional stance during the Cold War when he was against everything that strengthened the Western democracies against the Communist dictatorships.
Wie Ihr einst einer wart.,As you once did.
"Ich hoffe daher sehr, dass UKRAIN so bald als möglich als Medikament registriert und zugelassen wird.“ (IV Seite 19).",(IV page 19)
"- Wer glücklich ist, ist effizient.",- A happy worker's an efficient worker.
Ihr seid sicher der Hammer. Aber ich wusste davon nichts.,"You are certainly very good, but I do not know anything about this."
- Ich komme alleine klar.,- I can worry about myself.
"Soll sie auch die Wahrheit sagen, mir ist es gleich.","And even if she's right, I don't care."
"Hey, ich bin es.","'. Hey, it's me."
Der Arme.,Poor guy.
Wo war der Scar?,Was it Scar?
Nach Artikel 19 der Richtlinie 90/220 (') kann die Beurteilung vorhersehbarer pathogener oder ökologisch störender Wirkungen auf keinen Fall als vertrauliche Information behandelt werden.,"However, pursuant to Article 19 of Directive 90/220 (*), in no case may information about the evaluation of foreseeable pathogenic or ecologically disruptive effects be kept confidential."
Und dann...?,And then...
"Doch nicht nur Venedig bietet dem Besucher eine Fülle an Kostbarkeiten und Schätzen. Auch Verona, die literarische Heimat von Romeo und Julia, lädt in der großartigen Freilichtarena zum Verweilen ein.","Verona, the literary home of Romeo and Juliet, invites you to linger in its great open-air arena."
Und nun heißt es im obigen Kommentar:,And now the commentator quoted above tells us that
"It is currently Sat May 28, 2016 3:00 am","It is currently Sun May 22, 2016 2:39 am"
Diese Verordnung ist in allen ihren Teilen verbindlich und gilt unmittelbar in jedem Mitgliedstaat.,This Regulation shall be binding in its entirety and directly applicable in all Member States.
Du kannst mich ruhig hart anfassen.,You can treat me rough.
Das ist doch ober pervers.,Das ist doch ober pervers.
"Wenn beispielsweise videoDTO -Objekte von einer Wiedergabeliste an eine List -Komponente übergeben werden, können alle ListItem -Komponenten und alle ihre Unterelemente über den currentItem -Wert auf das jeweilige VideoDTO verweisen.","For instance, if a List is passed the videoDTO s from a playlist, each ListItem and all of its subelements can reference its particular VideoDTO through the currentItem value."
Weil ich innerlich tod bin.,- Because I'm dead inside.
"-Wie lief es letzte Nacht, Kumpel?","-So how'd it go last night, champ?"
Mom! Ihr sind ein paar Leute vom FBI!,"Mom, some FBI people are here!"
Franky!,Franky!
Willst du für sie sterben?,Are you gonna die for them?
Für Interessierte hab ich noch ein paar nette Fotos aus der Zeit zusammengestellt.,"Sorry for this. For some of you who are interessted, I drew up some nice pictures."
"EUR 115,-","EUR 140,-"
"ein wunderschöner Urlaub , 14/07/2012","a wonderful holiday , 14/07/2012"
Ich begann einen Sammlerclub für Bimetalle zu eröffnen.,I started a bimetallic coin collectors club.
"Du bist nicht allein, Eugene.","You are not alone, Eugene."
"Dad, du bist bekloppt.","Dad, you're crazy."
"Zum Zusammenstecken zweier TOS-Link-Kabel, um z.B. aus zwei 5m-Kabeln insgesamt 10m zu erhalten.","In order to fit together two TOS-Link-Kabel to receive a total of 10 m, e.g., from two 5m-cables."
"- Nein, überhaupt nicht. Cool.","- no,not at all.Cool."
Fels am Wagram ist eine Marktgemeinde mit Einwohnern (Stand ) im Bezirk Tulln in Niederösterreich.,Fels am Wagram is a municipality in the district of Tulln in the Austrian state of Lower Austria.
Wer zur Hölle ist das?,What the fuck is that?
06/12/2014,06/02/2013
Wenige hundert Meter nördlich der Wohnbebauung des Ortes beginnt das Holpertal.,A few hundred metres north of the built-up area is the valley of Holpertal.
"Gewiß, ALLAH bleibt immer allwürdig, allweise.","Surely Allah is All-Mighty, All-Wise."
"Auf dem Gelände: Parkplatz, bewachter Parkplatz. Auch im Objekt Möglichkeit zu grillen.","On the premises: parking, guarded parking."
15. Februar 2015,11. Februar 2015
"Und das ist genau das, was Sie auch mit mir machen wollen, nicht wahr?","And that's exactly what you want to do with me, isn't it?"
Optimale lineare Rillen sorgen für exzellentes Handling und eine hervorragende Lenkleistung sowie für verbesserte Wasserableitung.,Adoption of optimal linear grooves provide excellent handling and steering performance as well as improved water drainage.
"von swenzl am 8. April 2010, 10:21","by swenzl on 8. April 2010, 10:21"
All das grenzte eigentlich fast an ein Wunder.,Being able to accomplish all that was nothing short of a miracle.
Konfigurieren Sie Legenden auf einfache Weise mit einem einzigen Dialogfenster.,"Configure callouts easily with a single, linear dialog box"
The requested URL /encyclopedia/g/guadalajara_(province).htm was not found on this server.,The requested URL /encyclopedia/g/gangrel_(wrestler).htm was not found on this server.
Haustiere 7 €/Tag,Pet 7 €/night
"Hallo, Beauty.","Hey, Vanity."
"Eine überaus erfolgreiche Konzerttätigkeit führt das Ensemble regelmäßig in viele europäische Musikmetropolen und Festspielorte sowie auf Tourneen bis nach Japan. Hinzu kommen zahlreiche Schallplatten-, Rundfunk- und Fernsehproduktionen.","The ensemble’s extremely successful concert activities take it regularly to numerous European musical capitals and festivals as well on tour to Japan. It also has made numerous studio, radio and television recordings."
"Bei Candidiasis wird Posaconazole SP in einer Dosis von 200 mg (5 ml) am ersten Tag und je 100 mg (2,5 ml) einmal täglich an den folgenden 13 Tagen verabreicht.","For candidiasis, Posaconazole SP is given as 200 mg (5 ml) on the first day followed by 100 mg (2.5 ml) once a day for the following 13 days."
"Kaum war der weg, begann unser starker",Soon as he got the call...
- Wo ist Pepe?,- Where's Pepe?
Nicht jedes Bildelement muß dabei einen konkreten historischen Sinn ergeben.,Not every element of the vision has to have a specific historical sense.
Komm mal für eine Sekunde her.,Come here for a second.
Bob!,Bob!
"Sylvia Schedelbauer - Deutschland 2011, 10 Min.","Sylvia Schedelbauer - Germany 2011, 10 min."
Es ist wirklich eine sehr schwierige Aufgabe.,So we're really challenged on what we're doing there.
"Sag: Gewiß, ich fürchte, wenn ich mich meinem Herrn widersetze, die Strafe eines gewaltigen Tages.","Say: ""I would, if I disobeyed my Lord, indeed have fear of the Penalty of a Mighty Day."""
"Eltern von Studenten in St. Petersburg erhalten SMS-Benachrichtigung darüber, wie ihre Kinder die Schule besuchen. Wenn ein Schüler wird die Karte an das Drehkreuz zutreffen, werden die Eltern","Parents of students in St. Petersburg will receive SMS-alert about how their children attend school. Whenever a student will apply the card to the turnstile, the parents will be notified that their"
"""Der Erhängte""","""The Odour of Love"""
Das war Wahnsinn!,That's super! Yes!
in der Zwischenklasse und konnte sich hier,in Intermediate Class and earned
"Drongelen 6.4 km, 1 B&B","Helvoirt 7.3 km, 4 B&B's"
"Calumma andringitraensis, Calumma glawi, Calumma guillaumeti, Calumma marojezensis, Calumma vatosoa, Calumma vencesi und Furcifer nicosiai aus Madagaskar,","Calumma andringitraensis, Calumma glawi, Calumma guillaumeti, Calumma marojezensis, Calumma vatosoa, Calumma vencesi and Furcifer nicosiai from Madagascar,"
"It is currently Sat May 14, 2016 3:21 pm","It is currently Sun May 15, 2016 10:18 pm"
Stranica: 1 2 [3] 4,Stranica: 1 [2] 3
- Einerlei.,- Same thing.
Anfrage Nr. 97. von Lord Bethell (H-454/88),"Question No 97, by Lord Bethel (H-454/88)"
Members of the press may also contact us by contact form or telephone to get information for publications about Pelzer AP.,Members of the press may also contact us by contact form or telephone to get information for publications about Pelzer AP.
"Dec 19 2009, 02:38 PM","Dec 18 2009, 01:43 PM"
"11-30-2012, 12:54 AM #1","11-16-2012, 04:35 AM #1"
Husky ist sehr sprunghaft.,Husky liable to start blowin' cold.
My Adventure in Syria by Bridget (Blog).,My Adventure in Syria by Bridget (Blog).
"Nein, Mickey und ich.","No, Mickey and I."
Ich empfehle diesem Hause den Bericht.,I commend the report to the House.
"Ich hab meinen Stern von Bethlehem mitgebracht, welcher die drei heiligen Könige zum Erlöser unserer Menschheit geführt hat.","I brought my star of Bethlehem, which led the wise men to the savior of all mankind."
"Ich wollte nur, dass er kapiert, dass er es nicht alleine schafft.",I just wanted him to figure out he couldn't do it alone.
